Noise,Binning,Bins,Feature Selection,Features Used,Classifier,accuracy mean,precision mean,recall mean,f1 mean,roc_auc mean,accuracy std,precision std,recall std,f1 std,roc_auc std
0.0,none,none,frfs,10,random_forest,0.8452476107732407,0.818365080280563,0.7815797279030643,0.799274516690715,0.9061261971994641,0.010987979188726236,0.02603352709224687,0.016378602572184073,0.012481699088156403,0.008352725782783297
0.0,none,none,frfs,10,xgboost,0.8413368337551468,0.8195196160280105,0.7666900059320633,0.792028602181809,0.906200834574069,0.00790866081726901,0.019277899944271502,0.015751061447638777,0.00962769708211584,0.003491449093156018
0.0,none,none,frfs,10,svm,0.7611388962338987,0.7586308040527296,0.5836031935894818,0.6574763048219928,0.8216046688129917,0.013736867835120087,0.04560636171589001,0.049630623975159306,0.025306046473157606,0.008978513889805887
0.0,none,none,frfs,10,logistic_regression,0.7565723567408302,0.7576974770980102,0.565927346811759,0.6471228190626374,0.818704273620685,0.018126690228741013,0.0479293886361358,0.018801861961308446,0.01790156483011707,0.00933527773392465
0.0,static,2,frfs,10,random_forest,0.6220362255883354,0.9305555555555556,0.044663087979305856,0.08446365547595226,0.5589036194864281,0.008669527116301827,0.08333333333333333,0.023050464196756822,0.042197633405300215,0.007127073816160058
0.0,static,2,frfs,10,xgboost,0.6209492690665962,0.9305555555555556,0.04190370608085111,0.07907633957231029,0.55743404487956,0.01029332466326632,0.08333333333333333,0.027576775514671994,0.051103263473482236,0.008553996688992394
0.0,static,2,frfs,10,svm,0.6207328221206512,0.8967717717717718,0.044111211599614904,0.08306030888549172,0.5506293150102799,0.007200720804504886,0.07248147608310689,0.023922411013330667,0.043407361168928474,0.005934936132469242
0.0,static,2,frfs,10,logistic_regression,0.6207328221206512,0.8967717717717718,0.044111211599614904,0.08306030888549172,0.5577356010803312,0.007200720804504886,0.07248147608310689,0.023922411013330667,0.043407361168928474,0.007266083289091544
0.0,static,4,frfs,10,random_forest,0.6689823593850338,0.7354693801983653,0.2597964135328841,0.37883257669944004,0.6655199768373696,0.012834997766502486,0.07702949545231093,0.06240074466109302,0.05765649126386748,0.01982870128657567
0.0,static,4,frfs,10,xgboost,0.6696347221697578,0.7398134968992562,0.258695091946981,0.37835966755665884,0.6687048725195176,0.01170687995253554,0.0732448378310503,0.0613333205171956,0.056786485210821504,0.017461052175752775
0.0,static,4,frfs,10,svm,0.6613751747063046,0.7626453105503371,0.2062680514630802,0.322931943634895,0.6429814499928823,0.009767659003215717,0.04111936959280552,0.03696167754033282,0.04619159714112623,0.021914322085854917
