Noise,Binning,Bins,Feature Selection,Features Used,Classifier,accuracy mean,precision mean,recall mean,f1 mean,roc_auc mean,accuracy std,precision std,recall std,f1 std,roc_auc std
0.0,kmeans,8,frfs,20,logistic_regression,0.8585938217836339,0.6950429534084253,0.14759147753589624,0.22915036407470563,0.7524128430669965,0.009428790937047052,0.07208730366365694,0.10965825382149827,0.14375491872444537,0.03518452054923457
0.0,kmeans,16,frfs,20,random_forest,0.9398297407060294,0.9129986642347858,0.676547784468118,0.7746997556323019,0.970879609930403,0.006819045036410175,0.0351763059363404,0.0685444300095637,0.03643632673351676,0.010584984474004081
0.0,kmeans,16,frfs,20,xgboost,0.951499990811695,0.8899321881501,0.7836961556276053,0.8323248657265438,0.9787265863840116,0.007879454209541425,0.0353797579529081,0.05280527038329948,0.030693842601268305,0.010291759226127031
0.0,kmeans,16,frfs,20,svm,0.8458624143190547,0.0,0.0,0.0,0.6348574656640795,0.00027545067616615323,0.0,0.0,0.0,0.056853563228843475
0.0,kmeans,16,frfs,20,logistic_regression,0.8479844533877281,0.4745967741935484,0.047201636560135866,0.08566685531031881,0.7167015565656972,0.005286802178527185,0.33776718589818683,0.034777225036407754,0.06280008368249382,0.04066912498313369
0.0,none,none,frfs,50,random_forest,0.974233603469504,0.9745420719755873,0.855450054037363,0.9108177266335287,0.9935547940170297,0.00398421957957608,0.014640956657106168,0.029219258508322816,0.01507890355037236,0.0025490840655840613
0.0,none,none,frfs,50,xgboost,0.9871168936178033,0.983819890239468,0.9321367917245638,0.9570287265229693,0.9989761434826071,0.0037833619393952446,0.019712052646129453,0.023532779994414478,0.012904705786490266,0.0008603904924043276
0.0,none,none,frfs,50,svm,0.9292212911406363,0.9195156166629564,0.593924656476764,0.7209189519159047,0.9287450094093448,0.0026256140320794273,0.030563169715890105,0.029459356884116727,0.015455626408325212,0.005951349704544569
0.0,none,none,frfs,50,logistic_regression,0.9205827223110425,0.8422344263505042,0.6017986722247954,0.7004252245213907,0.9395595075716279,0.0057579306146583,0.06099564029586759,0.024508893353813618,0.010761386541503614,0.006127410589326751
0.0,static,2,frfs,50,random_forest,0.9615034823676425,0.9360047496637531,0.8063262312799135,0.8654122483409925,0.9862642572751296,0.00529713142338018,0.021229646752522095,0.04761492739259958,0.02218975765089263,0.004430762160872913
0.0,static,2,frfs,50,xgboost,0.974840491023026,0.9446813246366152,0.8888837424733673,0.9158346145715978,0.9944481715494182,0.0022471001444375276,0.00529051576440877,0.01804494595555441,0.008533090913222066,0.0010741881872055059
0.0,static,2,frfs,50,svm,0.9314954885421836,0.8811505227493963,0.6430986567855489,0.7429534423254212,0.9306448726586971,0.005147940880258904,0.030280372126128642,0.03202130630765288,0.021940419441260826,0.015217235276137294
0.0,static,2,frfs,50,logistic_regression,0.9243718874616389,0.8206928552327873,0.652933456847306,0.7266892778564211,0.9429637214228279,0.003417219328028535,0.02384614152348456,0.02947954634548364,0.015283888731558448,0.011215194090023412
0.0,static,4,frfs,50,random_forest,0.969687597625742,0.9552796896774052,0.8436621892851628,0.8954946376669214,0.9915206514215099,0.0025757059786339605,0.022758453292251565,0.029141609587448134,0.0103824136673656,0.003270889231036291
0.0,static,4,frfs,50,xgboost,0.9859044048734771,0.9715647636630477,0.9360776594102208,0.953370063268089,0.9981999643048983,0.0022379037069627104,0.009381372318396704,0.0180415391538213,0.007916463243773516,0.0009103134458029231
0.0,static,4,frfs,50,svm,0.9275554514214308,0.8725791118650525,0.621460552725027,0.7254200326926646,0.9344922623182014,0.00989095327905961,0.046748104706912416,0.04024098564544979,0.038063254056151914,0.006557758052570163
0.0,static,4,frfs,50,logistic_regression,0.9211886910340518,0.8055243084804338,0.646039833256137,0.7161569666503463,0.9460187050774685,0.005205719581415465,0.03177533235807187,0.03787097696262207,0.021766863038677035,0.006406365315636726
0.0,static,10,frfs,50,random_forest,0.9763557344212287,0.9749785895856249,0.8692141423498533,0.9187648097395977,0.9941929736895615,0.003776403851168628,0.015396931504781747,0.028144158478576067,0.014199415980562026,0.002579478265388591
