Noise,Binning,Bins,Feature Selection,Features Used,Classifier,accuracy mean,precision mean,recall mean,f1 mean,roc_auc mean,accuracy std,precision std,recall std,f1 std,roc_auc std
0.25,quantile,16,xgb,30,random_forest,0.7163763066202091,0.7699448621553885,0.618421052631579,0.6683633325738588,0.8090472228000831,0.09728456917962294,0.16328478178573255,0.15066794956104881,0.09801894150690817,0.0874827606954604
0.25,quantile,16,xgb,30,xgboost,0.7407665505226481,0.7600865800865801,0.6915789473684211,0.7157910906298003,0.8115508633243188,0.10218165672657475,0.15877996234284703,0.11394159460271486,0.09488843385838457,0.08073438679268337
0.25,quantile,16,xgb,30,svm,0.7068524970963996,0.66568913923605,0.7442105263157894,0.6996459096459096,0.8120433742458915,0.06975340372577886,0.06308059306721811,0.13563996256997188,0.08514284555129424,0.049169292756852896
0.25,quantile,16,xgb,30,logistic_regression,0.7361207897793264,0.7176969696969696,0.7536842105263158,0.7296726229294379,0.825687539005617,0.06796732685354785,0.12148182116759904,0.061536197486585356,0.057422414482304805,0.05227947063247517
0.25,kmeans,2,xgb,30,random_forest,0.7260162601626017,0.6959906159260043,0.7405263157894737,0.715465425367506,0.8148039317661745,0.06707555893199668,0.08522935267578008,0.08743022544480622,0.07246515722764447,0.05468647984737338
0.25,kmeans,2,xgb,30,xgboost,0.7067363530778166,0.6754761904761903,0.741578947368421,0.7018318617087427,0.7945288121489494,0.04302818479173684,0.07313245523753661,0.08511846071546782,0.03723107022750548,0.03719891944335744
0.25,kmeans,2,xgb,30,svm,0.6972125435540069,0.6384807596201899,0.8242105263157896,0.7169171304885591,0.7890253796546702,0.01919716934856622,0.034732813448925204,0.07096485806603443,0.014053881578416293,0.02278940945060542
0.25,kmeans,2,xgb,30,logistic_regression,0.697444831591173,0.6488248660662453,0.7936842105263158,0.710871327254306,0.8033211982525483,0.05003974430782254,0.06222744548997297,0.051655421288345466,0.030708399215267673,0.040623078948809364
0.25,kmeans,4,xgb,30,random_forest,0.6774680603948897,0.7125724637681159,0.5873684210526317,0.6308290177255694,0.7879249011857707,0.09319390550761882,0.1699118723660312,0.1052532890110586,0.08404202467558777,0.05432163651304234
0.25,kmeans,4,xgb,30,xgboost,0.7257839721254356,0.7477115583075336,0.6394736842105263,0.6839081866246552,0.8137050135219471,0.0378413895846953,0.07573639579729499,0.08055383086849457,0.042754508732957434,0.047888551774620196
0.25,kmeans,4,xgb,30,svm,0.7262485481997677,0.7304595328393956,0.6805263157894738,0.696296992481203,0.8284699396713127,0.04439300307280711,0.08406956711224846,0.10951289783511238,0.05359659707183649,0.04274373438680361
0.25,kmeans,4,xgb,30,logistic_regression,0.7264808362369337,0.7362373737373737,0.6605263157894736,0.6935627687103939,0.8100655294362389,0.0664436167159467,0.09598596627296598,0.06216322005798795,0.06530995193144705,0.03881364791644082
0.25,kmeans,8,xgb,30,random_forest,0.764924506387921,0.7504630202958377,0.7542105263157894,0.7485183379920222,0.8410775951737051,0.08448768883613375,0.09659687493529871,0.11850289569495186,0.09264618045860738,0.0690875329502617
0.25,kmeans,8,xgb,30,xgboost,0.7842044134727061,0.7780466853408029,0.7742105263157895,0.7716758887490596,0.8485593925525278,0.06373994956359935,0.0994305029364342,0.06463192182319474,0.05593104301177161,0.06324436309130176
0.25,kmeans,8,xgb,30,svm,0.7264808362369337,0.7155680645463928,0.7121052631578947,0.7079731051867275,0.8347555648013314,0.06864543831243168,0.10182075567925564,0.10170976032938228,0.07158808812795076,0.06218461802631341
0.25,kmeans,8,xgb,30,logistic_regression,0.7648083623693379,0.7783712905452036,0.7121052631578947,0.7374985374985374,0.8425036405242355,0.060162713734037844,0.1012205889027936,0.10170976032938228,0.06931708244171153,0.06526873529052579
0.25,kmeans,16,xgb,30,random_forest,0.7163763066202091,0.7854700854700856,0.5473684210526316,0.6407604818895141,0.789409194924069,0.05159037034204609,0.09331761944672474,0.09305897215835224,0.07228948249254619,0.03680570568856799
0.25,kmeans,16,xgb,30,xgboost,0.6927990708478514,0.7119758672699849,0.651578947368421,0.6655354033505294,0.8121739130434783,0.08173622414341354,0.14152144236296607,0.12083217912652806,0.06186563996237208,0.037697899472614003
0.25,kmeans,16,xgb,30,svm,0.7308943089430894,0.7411904761904762,0.661578947368421,0.694252675429146,0.8120584564177242,0.04515000689824609,0.06735060523071275,0.09757446194198918,0.061194176832295805,0.016499719692855398
0.25,kmeans,16,xgb,30,logistic_regression,0.716608594657375,0.7426939726939727,0.6310526315789473,0.6738402678144428,0.8173434574578738,0.05604625861032399,0.10814170843259788,0.1007313973120205,0.0627898441887647,0.043091235969209156
0.5,none,none,frfs,10,random_forest,0.5768873403019744,0.5120279720279719,0.5826315789473684,0.5217551942186088,0.605088932806324,0.10394370570808656,0.2192307754269476,0.3213738686248511,0.24701095088501998,0.17473907433551594
0.5,none,none,frfs,10,xgboost,0.5667828106852497,0.5127690700104494,0.6468421052631579,0.559757766492621,0.5822893696692324,0.07992763524468141,0.10733178864375073,0.2705693187201516,0.1714806623735275,0.15551522651524324
0.5,none,none,frfs,10,svm,0.6199767711962834,0.6888888888888889,0.4336842105263157,0.5022917902228248,0.49460890368213023,0.10696968148793988,0.2100852266798782,0.19203675779259113,0.14663991132218243,0.24741344386816616
0.5,none,none,frfs,10,logistic_regression,0.6583042973286874,0.6372474747474748,0.4215789473684211,0.49853504729565856,0.7052683586436447,0.12594572441064314,0.3898070011402375,0.2531682895338292,0.2900746401726099,0.12341468308057246
0.5,static,2,frfs,10,random_forest,0.5427409988385599,0.48724765430647776,0.4947368421052632,0.4740880503144654,0.5349984397753277,0.13325950883503213,0.1526287363004704,0.29501866225771617,0.21613436543391726,0.17256976276922217
0.5,static,2,frfs,10,xgboost,0.5092915214866435,0.4533823529411765,0.42210526315789465,0.4264239631336405,0.49513157894736837,0.11966920808832082,0.1706928276945885,0.23644411004403393,0.19331065496441674,0.18540287656193366
0.5,static,2,frfs,10,svm,0.5339140534262485,0.5465719593305799,0.6636842105263158,0.5369043275565015,0.40493707093821507,0.08464341488211942,0.12744640125710166,0.29433948778922303,0.1700838481819422,0.13609111140090802
0.5,static,2,frfs,10,logistic_regression,0.5579558652729385,0.5195238095238095,0.6926315789473685,0.5771874006826128,0.5702241522779281,0.04370743398243783,0.03620300534999661,0.23533438224820452,0.11711441820976869,0.11084539698307848
