Noise,Binning,Bins,Feature Selection,Features Used,Classifier,accuracy mean,precision mean,recall mean,f1 mean,roc_auc mean,accuracy std,precision std,recall std,f1 std,roc_auc std
1.0,quantile,16,elastic_net,10,random_forest,0.7520105573668684,0.7583271344034515,0.9471439749608763,0.8313436865614724,0.9318248097543054,0.1110657804738526,0.1334901073301603,0.09539433123063637,0.06280225389192484,0.05721499197353497
1.0,quantile,16,elastic_net,10,xgboost,0.7557366868498681,0.7874361971505565,0.894170579029734,0.8237723753189605,0.8779402838217939,0.07339306960983782,0.13021092819256402,0.10859168771406558,0.03065670782898048,0.06092784648716704
1.0,quantile,16,elastic_net,10,svm,0.7574134451172178,0.7254227420411136,0.9971830985915492,0.8388585038400975,0.978194349126629,0.06696690458491655,0.060044242183489714,0.0062987830352106665,0.040084951378708815,0.02524408166754074
1.0,quantile,16,elastic_net,10,logistic_regression,0.7644465145163795,0.7319381813413879,0.9943661971830986,0.842337715875836,0.9778742978976357,0.06745772327287623,0.05885963082735353,0.012597566070421333,0.04099699097393407,0.026726667282323233
1.0,kmeans,2,elastic_net,10,random_forest,0.8258810743673342,0.8253632514220886,0.9269170579029733,0.86883245329561,0.9312345325181062,0.07030044181500988,0.06639691516551928,0.10328403234504666,0.05563582763788529,0.03525990356094191
1.0,kmeans,2,elastic_net,10,xgboost,0.7960565129638255,0.8143494508519975,0.887754303599374,0.843407143758899,0.9182762054670832,0.06033338817730761,0.06446058763736862,0.11659025741375029,0.05369562368008899,0.03755930912675527
1.0,kmeans,2,elastic_net,10,svm,0.8874398385343891,0.8617315580550542,0.9805164319248826,0.9164009382604392,0.9783939532977366,0.029250452249456903,0.036848646460138725,0.03621039442749511,0.019866210813846152,0.011775597707318803
1.0,kmeans,2,elastic_net,10,logistic_regression,0.8891942244993013,0.8687586994174146,0.9748826291079812,0.9175367969514439,0.9791230262713231,0.03694134846044448,0.05009590918735984,0.034575640033572524,0.02485316689502672,0.010688395047888398
1.0,kmeans,4,elastic_net,10,random_forest,0.7294208973761839,0.7041514162355114,0.9888888888888889,0.8219549928870556,0.901238525034791,0.06274130135071705,0.047278365206807914,0.01810889557000734,0.03534618086641764,0.04450917212943667
1.0,kmeans,4,elastic_net,10,xgboost,0.755612482533768,0.7462890980559805,0.9638888888888889,0.8351233744282955,0.8391637508080351,0.08534093706842093,0.10509212330633026,0.05520724142875498,0.0444045372944523,0.0961627656223381
1.0,kmeans,4,elastic_net,10,svm,0.8453811519950317,0.8028044511127781,1.0,0.8904565814315756,0.9677422848893533,0.023424432682695624,0.02412840584918229,0.0,0.015014879028595635,0.009099948636604112
1.0,kmeans,4,elastic_net,10,logistic_regression,0.850659835429281,0.808204402425357,1.0,0.8937827506645355,0.9665578310517715,0.02204745509147567,0.023268295962740774,0.0,0.014339228588626015,0.007708770604010857
1.0,kmeans,8,elastic_net,10,random_forest,0.7169383636081353,0.6903804988034125,1.0,0.8164411811426057,0.8851059630825435,0.04463979381527145,0.0344540179229633,0.0,0.024120492457486882,0.05238729907822458
1.0,kmeans,8,elastic_net,10,xgboost,0.7625523986958547,0.750185494328411,0.9524647887323944,0.8361087715735724,0.8521130659928563,0.07211925195241875,0.07196107217089821,0.05536684927294503,0.038454832778412745,0.0778258085162478
1.0,kmeans,8,elastic_net,10,svm,0.7136314236919733,0.6881220268449311,1.0,0.814779523230089,0.9312503357786687,0.0492724038748602,0.03751088506672685,0.0,0.02655639695896164,0.03283271237545491
1.0,kmeans,8,elastic_net,10,logistic_regression,0.7259431765253843,0.6976186309848278,1.0,0.821381166956572,0.9256267579638034,0.04996491542224216,0.03886529326138604,0.0,0.027193738068109128,0.04563721838725362
1.0,kmeans,16,elastic_net,10,random_forest,0.7788076385654402,0.7503627249233056,0.9971830985915492,0.8532833319549535,0.8904355612572941,0.1045502672577973,0.09803105924890598,0.0062987830352106665,0.06090973591159868,0.15505725895887823
1.0,kmeans,16,elastic_net,10,xgboost,0.6927806241266884,0.7236354045199623,0.8141627543035994,0.7556166185781145,0.7786345224664091,0.27687039305676964,0.24483177137802095,0.30724108753740126,0.25280945646515995,0.3481318890475169
1.0,kmeans,16,elastic_net,10,svm,0.6767116907312529,0.6612452526883379,1.0,0.7956746082744258,0.979548035413168,0.04757870547506135,0.034299921191411745,0.0,0.024776792628992503,0.011818537761086453
1.0,kmeans,16,elastic_net,10,logistic_regression,0.6819903741655022,0.6653920580027928,1.0,0.7985315975010885,0.9802128771769288,0.05470413988160728,0.03995376617065447,0.0,0.028657760690225742,0.010346407804293639
1.0,none,none,elastic_net,15,random_forest,0.671386430678466,0.6589567821949815,1.0,0.7935662278624512,0.9050489197025391,0.06677478863682437,0.05013391416732972,0.0,0.03544729183530578,0.1286031753413117
1.0,none,none,elastic_net,15,xgboost,0.7469492314857942,0.742786918988292,0.9526604068857589,0.8281339067424975,0.8218154317810393,0.09885321747429993,0.09966182486729361,0.08424490584274037,0.05462296110590852,0.1537268226650785
1.0,none,none,elastic_net,15,svm,0.724188790560472,0.6982454241086324,0.9943661971830986,0.8197355129261048,0.9736455988298438,0.04925044597028926,0.04023716659982539,0.012597566070421333,0.0257626937831739,0.018513946023268335
1.0,none,none,elastic_net,15,logistic_regression,0.7505356311131812,0.7183965562384925,0.9943661971830986,0.833772201860312,0.974568405263623,0.03583048476978668,0.030944981420374783,0.012597566070421333,0.019959665291864964,0.01756915794149598
1.0,static,2,elastic_net,15,random_forest,0.840055891942245,0.8437118064167105,0.9219874804381846,0.8777633030251246,0.8770300961670106,0.04538819849194239,0.05518305907588359,0.08640726419749072,0.039036143330055374,0.09403833024989713
1.0,static,2,elastic_net,15,xgboost,0.7768048439683278,0.8191894923746815,0.8300860719874803,0.8087592080547366,0.8618049164929282,0.12899973323485542,0.06923091901795768,0.23327846589592793,0.1504450153352273,0.10299522505528926
1.0,static,2,elastic_net,15,svm,0.8364229156963203,0.8851822388782258,0.8803208137715179,0.8704164606830063,0.9606846288757523,0.0590494613127111,0.11169466857236622,0.12884811068413843,0.04450685289068218,0.027281320026409712
1.0,static,2,elastic_net,15,logistic_regression,0.8751746623195157,0.9051232002065831,0.9080985915492956,0.8993878630067222,0.9600560728713365,0.051084834945488995,0.07376088483239332,0.11549379269899336,0.04827985212976723,0.027174866034119456
